LAC  ,CELLID   
54033,14552
54033,10723
54254,35583
25357,34188
25357,16128
25357,39971
54033,6692
54033,6382
54033,8671
25357,843
21524,34662
21524,34668
21524,18917
21524,18911
54033,12642
54033,10411
21524,16172
21524,16178
54033,7312
21265,4902
21524,9007
21524,9001
21524,24829
54033,10721
21524,8463
54033,13413
54033,13483
21524,19403
54033,12863
25357,49178
25357,37323
25357,49179
21524,11079
21524,11077
54033,12391
21276,12271
21276,16073
54033,6091
54033,6152
54033,6153
21276,12272
54033,6092
21276,12969
21747,16153
21747,18767
54033,6483
54033,6161
54033,7173
25357,842
21747,50081
54033,6082
21524,18912
21524,24821
21524,11252
21524,11253
21524,24602
21524,493
54033,10412
54033,14111
54033,12723
54033,12853
21524,491
54033,12721
21524,9002
21524,24828
21524,16821
21524,16823
54033,10722
54033,13291
21276,16102
21276,43241
54033,7112
21524,24607
21524,24609
21524,20491
54033,12851
54033,12393
54033,12852
21747,18769
21747,39989
54033,6162
25357,37322
25357,49171
21276,16071
21276,16077
54033,18183
25357,6382
25357,26382
25357,37327
25357,37321
25357,19273
25357,19279
54033,7062
54033,17422
54033,17423
54033,8181
54033,8182
54033,8183
21266,8303
21747,50082
25357,16051
25357,16181
25357,16187
25357,45401
25357,13053
25357,13059
54033,7061
54033,7331
54033,6323
21276,15223
54033,6151
21524,11067
54033,10321
21276,12968
21747,16152
21747,37663
21747,37143
21747,9041
21747,9047
54033,6482
54033,7172
54033,8193
54033,6751
54033,6753
54033,6752
54033,7161
54033,7162
54033,6101
25357,13051
25357,13057
21747,18759
54033,6321
54033,7093
21276,16678
21276,16713
21276,16719
21276,12329
54033,6221
54033,6001
25357,16052
25357,19272
25357,50201
25357,43417
25357,43419
25357,6343
25357,43107
54033,17421
54033,8972
54033,6653
25357,13058
25357,13052
25357,6341
54033,6322
54033,6651
21747,39982
21747,36059
54033,6373
21265,7422
54270,15863
54033,6652
54033,6372
25357,43418
25357,50202
25357,43097
21747,7143
21276,16712
54033,10822
21524,9051
21524,29051
21524,36139
21524,36133
54033,11191
54033,6602
54033,6601
54033,6603
21678,12139
21678,12133
54033,11991
54033,11992
54033,10113
21524,6352
21524,24503
54033,11112
21524,11068
21678,34059
21678,34053
21678,34051
54033,10322
54033,12493
21276,9567
54033,6003
54033,7721
25357,6342
25357,6348
25357,43109
